date,energy_mwh,fuel,percentage
2020-12-12 19:00:00,10667,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.085264377922545
2020-12-12 19:00:00,28287,ΛΙΓΝΙΤΗΣ,0.2261060709004436
2020-12-12 19:00:00,125105,ΣΥΝΟΛΟ,1.0
2020-12-12 19:00:00,5906,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0472083449902082
2020-12-13 19:00:00,54738,ΑΕΡΙΟ,0.3970089065537149
2020-12-13 19:00:00,51358,ΑΙΟΛΙΚΑ,0.3724941251559372
2020-12-13 19:00:00,-1486,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),-0.0107778003423365
2020-12-13 19:00:00,26735,ΛΙΓΝΙΤΗΣ,0.1939061185412979
2020-12-13 19:00:00,137876,ΣΥΝΟΛΟ,1.0
2020-12-13 19:00:00,6531,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0473686500913864
2020-12-14 19:00:00,56204,ΑΕΡΙΟ,0.4122673825818425
2020-12-14 19:00:00,44947,ΑΙΟΛΙΚΑ,0.3296950758826075
2020-12-14 19:00:00,3006,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.022049600598552
2020-12-14 19:00:00,24878,ΛΙΓΝΙΤΗΣ,0.1824850178612034
2020-12-14 19:00:00,136329,ΣΥΝΟΛΟ,1.0
2020-12-14 19:00:00,7294,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0535029230757945
2020-12-15 19:00:00,73520,ΑΕΡΙΟ,0.54
2020-12-15 19:00:00,21174,ΑΙΟΛΙΚΑ,0.16
2020-12-15 19:00:00,6536,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0485421029960043
2020-12-15 19:00:00,24305,ΛΙΓΝΙΤΗΣ,0.18
2020-12-15 19:00:00,134646,ΣΥΝΟΛΟ,0.9985421029960044
2020-12-15 19:00:00,9111,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.07
2020-12-16 19:00:00,86398,ΑΕΡΙΟ,0.6195492388116426
2020-12-16 19:00:00,5894,ΑΙΟΛΙΚΑ,0.0422651359239313
2020-12-16 19:00:00,3594,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0257721239413996
2020-12-16 19:00:00,32656,ΛΙΓΝΙΤΗΣ,0.2341720866528507
2020-12-16 19:00:00,139453,ΣΥΝΟΛΟ,1.0
2020-12-16 19:00:00,10911,ΥΔΡΟΗΛΕΚΤΡΙΚΑ,0.0782414146701756
2020-12-17 19:00:00,79419,ΑΕΡΙΟ,0.585958077868036
2020-12-17 19:00:00,7093,ΑΙΟΛΙΚΑ,0.0523325733932431
2020-12-17 19:00:00,12245,ΚΑΘΑΡΕΣ ΕΙΣΑΓΩΓΕΣ (ΕΙΣΑΓΩΓΕΣ-ΕΞΑΓΩΓΕΣ),0.0903443340194928
2020-12-17 19:00:00,30650,ΛΙΓΝΙΤΗΣ,0.2261375122660233
2020-12-17 19:00:00,135537,ΣΥΝΟΛΟ,1.0
