,Year,Quarter,Index Ι,q-o-q change %,Y-o-y change %,Index II,q-o-q change %,Y-o-y change %,Index III,q-o-q change %,Y-o-y change %
25,2014.0,Q2,89.5,11.6,-1.8,90.3,1.0,-1.1,89.4,11.3,-1.9
26,2014.0,Q3,95.1,6.3,6.1,92.1,2.0,3.3,94.9,6.2,6.2
27,2014.0,Q4,99.0,4.1,2.2,90.7,-1.5,2.1,98.8,4.1,2.0
28,2015.0,Q1,79.9,-19.3,-0.4,89.6,-1.2,0.2,80.0,-19.0,-0.4
29,2015.0,Q2,85.7,7.3,-4.2,87.8,-2.0,-2.8,85.5,6.9,-4.4
30,2015.0,Q3,95.9,11.9,0.8,91.4,4.1,-0.8,95.9,12.2,1.1
31,2015.0,Q4,98.5,2.7,-0.5,90.8,-0.7,0.1,98.5,2.7,-0.3
32,2016.0,Q1,80.1,-18.7,0.3,90.0,-0.9,0.4,80.1,-18.7,0.1
33,2016.0,Q2,89.4,11.6,4.3,91.4,1.6,4.1,89.3,11.5,4.4
34,2016.0,Q3,97.1,8.6,1.3,92.4,1.1,1.1,97.3,9.0,1.5
35,2016.0,Q4,98.2,1.1,-0.3,90.7,-1.8,-0.1,97.9,0.6,-0.6
36,2017.0,Q1,81.0,-17.5,1.1,91.0,0.3,1.1,81.0,-17.3,1.1
37,2017.0,Q2,89.9,11.0,0.6,91.7,0.8,0.3,89.9,11.0,0.7
38,2017.0,Q3,95.8,6.6,-1.3,91.8,0.1,-0.6,95.7,6.5,-1.6
39,2017.0,Q4,100.7,5.1,2.5,93.2,1.5,2.8,100.9,5.4,3.1
40,2018.0,Q1,84.8,-15.8,4.7,94.3,1.2,3.6,84.7,-16.1,4.6
41,2018.0,Q2,93.0,9.7,3.4,94.2,-0.1,2.7,92.9,9.7,3.3
42,2018.0,Q3,97.7,5.1,2.0,94.9,0.7,3.4,97.8,5.3,2.2
43,2018.0,Q4,102.7,5.1,2.0,95.1,0.2,2.0,102.7,5.0,1.8
44,2019.0,Q1,85.5,-16.7,0.8,95.1,0.0,0.8,85.5,-16.7,0.9
45,2019.0,Q2,94.6,10.6,1.7,95.1,0.0,1.0,94.6,10.6,1.8
46,2019.0,Q3,100.1,5.8,2.5,97.7,2.7,3.0,99.9,5.6,2.1
47,2019.0,Q4,105.3,5.2,2.5,97.4,-0.3,2.4,105.4,5.5,2.6
48,2020.0,Q1,87.2,-17.2,2.0,97.6,0.2,2.6,87.5,-17.0,2.3
49,2020.0,Q2,101.6,16.5,7.4,101.3,3.8,6.5,101.3,15.8,7.1
50,2020.0,Q3,101.6,0.0,1.5,99.8,-1.5,2.1,101.6,0.3,1.7
51,2020.0,Q4,109.6,7.9,4.1,101.2,1.4,3.9,109.6,7.9,4.0
52,2021.0,Q1,92.2,-15.9,5.7,101.9,0.7,4.4,92.0,-16.1,5.1
53,2021.0,Q2,101.5,10.1,-0.1,101.6,-0.3,0.3,101.5,10.3,0.2
54,2021.0,Q3,99.6,-1.9,-2.0,98.4,-3.1,-1.4,99.6,-1.9,-2.0
55,2021.0,Q4,108.7,9.1,-0.8,101.0,2.6,-0.2,108.9,9.3,-0.6
56,2022.0,Q1,91.5,-15.8,-0.8,101.4,0.4,-0.5,91.2,-16.3,-0.9
57,2022.0,Q2,104.1,13.8,2.6,104.1,2.7,2.5,103.9,13.9,2.4
58,2022.0,Q3,112.2,7.8,12.7,108.1,3.8,9.9,112.4,8.2,12.9
59,2022.0,Q4,116.3,3.7,7.0,107.8,-0.3,6.7,115.9,3.1,6.4
60,2023.0,Q1,97.1,-16.5,6.1,108.7,0.8,7.2,97.0,-16.3,6.4
61,2023.0,Q2,109.1,12.4,4.8,109.7,0.9,5.4,109.0,12.4,4.9
62,2023.0,Q3,120.4,10.4,7.3,116.2,5.9,7.5,120.2,10.3,6.9
63,2023.0,Q4,123.1,2.2,5.8,114.8,-1.2,6.5,123.4,2.7,6.5
64,2024.0,Q1,104.4,-15.2,7.5,116.2,1.2,6.9,104.7,-15.2,7.9
65,2024.0,Q2,118.5,13.5,8.6,117.7,1.3,7.3,118.5,13.2,8.7
66,2024.0,Q3,116.9,-1.4,-2.9,114.2,-3.0,-1.7,116.8,-1.4,-2.8
