Sector,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Interest,36110,33954,30778,33352,31080,29713,21674,19832,18333,19236,21294,27413,39309,50811,37110,34300,37125,29833,20721,18374,14784,12429,11622,11756,11926,11341,11831,14940,33032
Distributed Income of Corporations,2427,3154,2956,3659,5572,6189,7166,7228,7768,7892,7487,7315,8909,11221,8139,6789,4498,3703,2946,3227,3715,4330,5329,4447,5831,5318,5965,8183,8211
Reinvested Earnings on Foreign Direct Investment,256,302,288,350,378,473,150,180,544,601,700,693,841,294,-367,-1704,-2161,-3098,-606,-220,421,452,459,337,683,369,873,1753,1753
Other investment income,262,379,568,666,831,731,722,890,995,1056,776,819,765,516,691,789,675,1365,1264,841,546,402,423,421,486,472,428,435,502
Rent,284,379,388,421,453,516,566,630,702,727,731,754,768,739,707,670,721,719,612,559,532,515,512,495,489,478,480,479,487
"Current taxes on income, wealth, etc.",6056,6534,8132,10593,11802,13665,12968,14341,14256,15378,17506,17638,18740,19444,20165,18246,18763,20456,18817,17311,16667,17637,17541,18397,17087,15447,17129,19572,23080
Social Contributions and Benefits,30671,33662,37854,42161,46136,49054,53635,59337,66190,69840,75577,81876,90637,99573,102760,100222,95763,90366,81492,79531,79614,80617,80564,81199,82976,82063,85847,90333,93887
Social contributions,10010,11109,12575,14082,15356,16956,18399,21267,23133,24400,25543,26981,30106,32043,30893,31202,28890,27855,25866,25052,25156,25712,26688,27040,27383,26165,27778,29550,29815
Social benefits other than social transfers in kind,10586,11732,12996,14694,16154,17960,19827,21271,24193,25692,27979,31413,34964,40057,43004,41455,41858,39927,35547,35941,35801,35913,35046,35145,35306,34958,36059,37687,39378
Social transfers in kind,10076,10820,12283,13385,14625,14138,15409,16799,18864,19748,22056,23482,25566,27473,28864,27564,25015,22583,20080,18538,18657,18992,18830,19013,20287,20940,22009,23096,24694
Other current transfers,4154,4948,5193,5779,6432,6705,8029,7637,8202,9543,9304,9607,10459,11710,13004,13681,12893,10653,10163,9642,9485,9655,8650,9423,9558,9426,9455,9272,10189
Net non-life insurance premiums,384,516,549,578,626,547,730,1219,1255,1377,789,1019,983,936,1403,1727,1772,1355,1281,1000,978,886,995,1081,1071,826,819,956,1049
Non-life insurance claims,372,500,533,561,607,531,708,1183,1218,1336,766,989,953,908,1362,1676,1573,1166,1054,854,804,743,789,907,862,693,651,852,860
"Other Current transfers, not elsewhere classified",3398,3933,4111,4641,5199,5627,6591,5235,5729,6830,7749,7599,8524,9866,10240,10278,9548,8132,7828,7788,7703,8026,6866,7435,7625,7908,7985,7464,8280
Adjustment for the change in pension entitlements,0,0,0,0,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-4,-5,-5,-5,-7,-7,-7,19,49,20,20,24,25,25,24
"Capital transfers, payable",1005,609,1524,2174,1969,3091,2304,2430,2883,3946,1938,1282,2146,4877,3939,3598,3916,9144,23995,1779,7279,961,1337,3163,3158,9588,7801,5417,7377
Capital taxes,293,293,342,339,324,435,428,376,291,324,394,325,303,614,524,250,250,161,162,137,166,136,179,160,270,191,230,262,259
Capital Grants and other capital transfers,712,316,1182,1835,1645,2656,1876,2054,2592,3622,1544,957,1843,4263,3415,3348,3666,8983,23833,1642,7113,825,1158,3003,2888,9397,7571,5155,7118
Consumption of fixed capital,13004,14280,15582,17254,18770,20517,22430,24367,26143,27800,28951,31547,33959,36798,38097,37827,36006,34295,32521,30738,29455,28511,27973,27566,26959,26540,26862,28344,29509
Acquisitions less disposals of non-financial non-produced assets,1,1,3,5,0,-2,-230,8,-14,-12,44,0,-22,-181,-86,-13,-9,51,170,187,269,115,96,253,296,138,4,-683,59
Gross domestic product,91769,100664,111193,121086,128668,136162,147439,158903,174096,188904,194774,214298,229283,238735,234322,223590,203475,185899,178114,176072,175363,174449,177378,180616,185182,167540,184575,207855,225197
Net domestic product,78765,86383,95611,103833,109898,115645,125008,134536,147953,161104,165823,182751,195324,201937,196225,185763,167469,151604,145593,145334,145908,145938,149405,153050,158222,141000,157712,179510,195689
"Operating surplus + Mixed income, gross",56247,61134,66035,71586,73755,77373,83897,87709,97124,106540,107167,118406,125828,129812,126499,117292,104723,95343,94219,89214,88692,84613,86700,86762,89508,83102,94160,108759,115842
"of which: Mixed income, gross",27964,30684,33511,36377,37863,39035,42483,45122,50162,53502,52773,58729,61291,61257,59581,52279,43102,39444,39287,38843,39078,37470,40271,37458,42163,36710,44150,47121,51070
"National income, gross",93592,101983,112836,122687,130446,137509,147814,159814,173101,187527,192079,209873,222947,231183,228672,218634,197842,186361,176768,175730,174015,172476,175296,177262,182466,165847,183257,205137,218152
"Disposable income/Adjusted disposable income, gross",95828,104082,114760,124539,131798,138874,149078,160598,174007,188244,192116,210055,221796,230627,227537,217330,196424,185683,178248,174945,173408,171920,175119,176830,182919,166113,183162,205496,217878
"Saving, gross",16314,17073,19617,20670,21006,23168,23173,24562,27751,30646,24217,31620,28377,23668,16648,17777,10028,14280,17611,17772,17527,16958,16481,16041,17422,8873,17029,19144,19686
Net lending(+) / net borrowing(-),-1684,-2784,-2125,-5807,-6568,-8964,-12018,-12126,-15822,-14225,-15881,-20124,-27773,-31654,-25328,-19032,-14558,-4285,584,-112,606,-2142,-2590,-5099,-2627,-10474,-10352,-17251,-12824
