Κωδικός,Προϊόν,W%-Μήνας-Ετήσιο,ΔΤΚ,
1122,XOIPINO,Νοέμβριος,103,28
1122,XOIPINO,Δεκέμβριος,101,8
1122,XOIPINO,ΕΤΗΣΙΟΣ,102,41
1123,APNI & KATΣΙΚΙ,W%0,4,47
1123,APNI & KATΣΙΚΙ,Ιανουάριος,101,85
1123,APNI & KATΣΙΚΙ,Φεβρουάριος,101,72
1123,APNI & KATΣΙΚΙ,Μάρτιος,101,93
1123,APNI & KATΣΙΚΙ,Απρίλιος,110,19
1123,APNI & KATΣΙΚΙ,Μάιος,112,42
1123,APNI & KATΣΙΚΙ,Ιούνιος,114,19
1123,APNI & KATΣΙΚΙ,Ιούλιος,112,93
1123,APNI & KATΣΙΚΙ,Αύγουστος,113,75
1123,APNI & KATΣΙΚΙ,Σεπτέμβριος,122,10
1123,APNI & KATΣΙΚΙ,Οκτώβριος,123,69
1123,APNI & KATΣΙΚΙ,Νοέμβριος,127,29
1123,APNI & KATΣΙΚΙ,Δεκέμβριος,129,13
1123,APNI & KATΣΙΚΙ,ΕΤΗΣΙΟΣ,114,27
1124,ΠΟΥΛΕΡΙΚΑ,W%0,7,75
1124,ΠΟΥΛΕΡΙΚΑ,Ιανουάριος,95,2
1124,ΠΟΥΛΕΡΙΚΑ,Φεβρουάριος,93,81
1124,ΠΟΥΛΕΡΙΚΑ,Μάρτιος,92,66
1124,ΠΟΥΛΕΡΙΚΑ,Απρίλιος,90,57
1124,ΠΟΥΛΕΡΙΚΑ,Μάιος,97,9
1124,ΠΟΥΛΕΡΙΚΑ,Ιούνιος,94,38
1124,ΠΟΥΛΕΡΙΚΑ,Ιούλιος,93,54
1124,ΠΟΥΛΕΡΙΚΑ,Αύγουστος,96,20
1124,ΠΟΥΛΕΡΙΚΑ,Σεπτέμβριος,94,32
1124,ΠΟΥΛΕΡΙΚΑ,Οκτώβριος,97,45
1124,ΠΟΥΛΕΡΙΚΑ,Νοέμβριος,98,66
1124,ΠΟΥΛΕΡΙΚΑ,Δεκέμβριος,99,0
1124,ΠΟΥΛΕΡΙΚΑ,ΕΤΗΣΙΟΣ,95,22
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,W%0,0,18
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Ιανουάριος,106,36
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Φεβρουάριος,105,92
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Μάρτιος,106,3
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Απρίλιος,105,98
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Μάιος,106,43
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Ιούνιος,105,35
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Ιούλιος,106,50
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Αύγουστος,106,69
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Σεπτέμβριος,104,95
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Οκτώβριος,107,7
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Νοέμβριος,106,77
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,Δεκέμβριος,108,72
1125,ΛΟΙΠΑ ΕΙΔΗ ΚΡΕΑΤΟΣ,ΕΤΗΣΙΟΣ,106,4
1126,ΕΝΤΟΣΘΙΑ,W%0,0,16
1126,ΕΝΤΟΣΘΙΑ,Ιανουάριος,97,83
1126,ΕΝΤΟΣΘΙΑ,Φεβρουάριος,97,76
1126,ΕΝΤΟΣΘΙΑ,Μάρτιος,97,93
1126,ΕΝΤΟΣΘΙΑ,Απρίλιος,101,51
1126,ΕΝΤΟΣΘΙΑ,Μάιος,98,57
1126,ΕΝΤΟΣΘΙΑ,Ιούνιος,99,96
1126,ΕΝΤΟΣΘΙΑ,Ιούλιος,96,90
1126,ΕΝΤΟΣΘΙΑ,Αύγουστος,100,35
1126,ΕΝΤΟΣΘΙΑ,Σεπτέμβριος,99,32
1126,ΕΝΤΟΣΘΙΑ,Οκτώβριος,101,23
1126,ΕΝΤΟΣΘΙΑ,Νοέμβριος,101,85
1126,ΕΝΤΟΣΘΙΑ,Δεκέμβριος,102,66
1126,ΕΝΤΟΣΘΙΑ,ΕΤΗΣΙΟΣ,99,66
1127,ΑΛΛΑΝΤΙΚΑ,W%0,4,26
1127,ΑΛΛΑΝΤΙΚΑ,Ιανουάριος,97,97
1127,ΑΛΛΑΝΤΙΚΑ,Φεβρουάριος,97,69
1127,ΑΛΛΑΝΤΙΚΑ,Μάρτιος,96,51
1127,ΑΛΛΑΝΤΙΚΑ,Απρίλιος,97,5
1127,ΑΛΛΑΝΤΙΚΑ,Μάιος,96,99
1127,ΑΛΛΑΝΤΙΚΑ,Ιούνιος,96,87
1127,ΑΛΛΑΝΤΙΚΑ,Ιούλιος,96,29
1127,ΑΛΛΑΝΤΙΚΑ,Αύγουστος,97,24
1127,ΑΛΛΑΝΤΙΚΑ,Σεπτέμβριος,94,43
1127,ΑΛΛΑΝΤΙΚΑ,Οκτώβριος,96,69
1127,ΑΛΛΑΝΤΙΚΑ,Νοέμβριος,97,97
1127,ΑΛΛΑΝΤΙΚΑ,Δεκέμβριος,94,25
1127,ΑΛΛΑΝΤΙΚΑ,ΕΤΗΣΙΟΣ,96,66
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,W%0,1,40
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Ιανουάριος,103,85
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Φεβρουάριος,104,15
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Μάρτιος,103,14
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Απρίλιος,105,38
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Μάιος,103,65
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Ιούνιος,106,62
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Ιούλιος,106,55
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Αύγουστος,106,94
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Σεπτέμβριος,107,7
1128,ΠΑΡΑΣΚΕΥΑΣΜΑΤΑ ΜΕ ΒΑΣΗ ΤΟ ΚΡΕΑΣ,Οκτώβριος,109,33
