TIME;Gross consolidated debt of General Government (2024q4);INSTR_ASSETS_CLASSIFICATION;ORIG_MATURITY;CONTROL;Value
2006-Q2;Debt securities;F3;T;5=6+7;180921
2006-Q2;Short-term;F3;S;6;4759
2006-Q2;Long-term;F3;L;7;176162
2006-Q2;Loans;F4;T;8=9+10;37701
2006-Q2;Short-term;F4;S;9;1999
2006-Q2;Long-term;F4;L;10;35702
2006-Q3;Total Maastricht debt;GD;T;1=2+5+8;221659
2006-Q3;Currency and deposits;F2;T;2=3+4;1044
2006-Q3;Currency;F21;_Z;3;0
2006-Q3;Deposits;F2M;T;4;1044
2006-Q3;Debt securities;F3;T;5=6+7;182875
2006-Q3;Short-term;F3;S;6;1137
2006-Q3;Long-term;F3;L;7;181738
2006-Q3;Loans;F4;T;8=9+10;37740
2006-Q3;Short-term;F4;S;9;1400
2006-Q3;Long-term;F4;L;10;36340
2006-Q4;Total Maastricht debt;GD;T;1=2+5+8;225730
2006-Q4;Currency and deposits;F2;T;2=3+4;1085
2006-Q4;Currency;F21;_Z;3;0
2006-Q4;Deposits;F2M;T;4;1085
2006-Q4;Debt securities;F3;T;5=6+7;184156
2006-Q4;Short-term;F3;S;6;943
2006-Q4;Long-term;F3;L;7;183213
2006-Q4;Loans;F4;T;8=9+10;40489
2006-Q4;Short-term;F4;S;9;3911
2006-Q4;Long-term;F4;L;10;36578
2007-Q1;Total Maastricht debt;GD;T;1=2+5+8;231675
2007-Q1;Currency and deposits;F2;T;2=3+4;708
2007-Q1;Currency;F21;_Z;3;0
2007-Q1;Deposits;F2M;T;4;708
2007-Q1;Debt securities;F3;T;5=6+7;193783
2007-Q1;Short-term;F3;S;6;895
2007-Q1;Long-term;F3;L;7;192888
2007-Q1;Loans;F4;T;8=9+10;37184
2007-Q1;Short-term;F4;S;9;2349
2007-Q1;Long-term;F4;L;10;34835
2007-Q2;Total Maastricht debt;GD;T;1=2+5+8;233269
2007-Q2;Currency and deposits;F2;T;2=3+4;789
2007-Q2;Currency;F21;_Z;3;0
2007-Q2;Deposits;F2M;T;4;789
2007-Q2;Debt securities;F3;T;5=6+7;195938
2007-Q2;Short-term;F3;S;6;7161
2007-Q2;Long-term;F3;L;7;188777
2007-Q2;Loans;F4;T;8=9+10;36542
2007-Q2;Short-term;F4;S;9;2493
2007-Q2;Long-term;F4;L;10;34049
2007-Q3;Total Maastricht debt;GD;T;1=2+5+8;234171
2007-Q3;Currency and deposits;F2;T;2=3+4;806
2007-Q3;Currency;F21;_Z;3;0
2007-Q3;Deposits;F2M;T;4;806
2007-Q3;Debt securities;F3;T;5=6+7;197892
2007-Q3;Short-term;F3;S;6;2256
2007-Q3;Long-term;F3;L;7;195636
2007-Q3;Loans;F4;T;8=9+10;35473
2007-Q3;Short-term;F4;S;9;1586
2007-Q3;Long-term;F4;L;10;33887
2007-Q4;Total Maastricht debt;GD;T;1=2+5+8;239915
2007-Q4;Currency and deposits;F2;T;2=3+4;751
2007-Q4;Currency;F21;_Z;3;0
2007-Q4;Deposits;F2M;T;4;751
2007-Q4;Debt securities;F3;T;5=6+7;201108
2007-Q4;Short-term;F3;S;6;1625
2007-Q4;Long-term;F3;L;7;199483
2007-Q4;Loans;F4;T;8=9+10;38056
2007-Q4;Short-term;F4;S;9;3842
2007-Q4;Long-term;F4;L;10;34214
2008-Q1;Total Maastricht debt;GD;T;1=2+5+8;244548
2008-Q1;Currency and deposits;F2;T;2=3+4;878
2008-Q1;Currency;F21;_Z;3;0
2008-Q1;Deposits;F2M;T;4;878
2008-Q1;Debt securities;F3;T;5=6+7;208611
2008-Q1;Short-term;F3;S;6;838
2008-Q1;Long-term;F3;L;7;207773
2008-Q1;Loans;F4;T;8=9+10;35059
2008-Q1;Short-term;F4;S;9;2393
2008-Q1;Long-term;F4;L;10;32666
2008-Q2;Total Maastricht debt;GD;T;1=2+5+8;249692
2008-Q2;Currency and deposits;F2;T;2=3+4;756
2008-Q2;Currency;F21;_Z;3;0
2008-Q2;Deposits;F2M;T;4;756
2008-Q2;Debt securities;F3;T;5=6+7;213542
2008-Q2;Short-term;F3;S;6;6788
2008-Q2;Long-term;F3;L;7;206754
2008-Q2;Loans;F4;T;8=9+10;35394
2008-Q2;Short-term;F4;S;9;2003
2008-Q2;Long-term;F4;L;10;33391
2008-Q3;Total Maastricht debt;GD;T;1=2+5+8;256238
2008-Q3;Currency and deposits;F2;T;2=3+4;770
2008-Q3;Currency;F21;_Z;3;0
2008-Q3;Deposits;F2M;T;4;770
2008-Q3;Debt securities;F3;T;5=6+7;220244
2008-Q3;Short-term;F3;S;6;5747
2008-Q3;Long-term;F3;L;7;214497
2008-Q3;Loans;F4;T;8=9+10;35224
2008-Q3;Short-term;F4;S;9;2008
2008-Q3;Long-term;F4;L;10;33216
2008-Q4;Total Maastricht debt;GD;T;1=2+5+8;264775
2008-Q4;Currency and deposits;F2;T;2=3+4;844
2008-Q4;Currency;F21;_Z;3;0
2008-Q4;Deposits;F2M;T;4;844
2008-Q4;Debt securities;F3;T;5=6+7;225449
2008-Q4;Short-term;F3;S;6;5496
2008-Q4;Long-term;F3;L;7;219953
2008-Q4;Loans;F4;T;8=9+10;38482
2008-Q4;Short-term;F4;S;9;4290
2008-Q4;Long-term;F4;L;10;34192
2009-Q1;Total Maastricht debt;GD;T;1=2+5+8;281548
2009-Q1;Currency and deposits;F2;T;2=3+4;866
2009-Q1;Currency;F21;_Z;3;0
2009-Q1;Deposits;F2M;T;4;866
2009-Q1;Debt securities;F3;T;5=6+7;244352
2009-Q1;Short-term;F3;S;6;7568
2009-Q1;Long-term;F3;L;7;236784
2009-Q1;Loans;F4;T;8=9+10;36330
2009-Q1;Short-term;F4;S;9;2412
2009-Q1;Long-term;F4;L;10;33918
2009-Q2;Total Maastricht debt;GD;T;1=2+5+8;291479
2009-Q2;Currency and deposits;F2;T;2=3+4;1139
2009-Q2;Currency;F21;_Z;3;0
2009-Q2;Deposits;F2M;T;4;1139
2009-Q2;Debt securities;F3;T;5=6+7;255587
2009-Q2;Short-term;F3;S;6;12830
2009-Q2;Long-term;F3;L;7;242757
2009-Q2;Loans;F4;T;8=9+10;34753
2009-Q2;Short-term;F4;S;9;2250
2009-Q2;Long-term;F4;L;10;32503
2009-Q3;Total Maastricht debt;GD;T;1=2+5+8;296231
2009-Q3;Currency and deposits;F2;T;2=3+4;1201
2009-Q3;Currency;F21;_Z;3;0
2009-Q3;Deposits;F2M;T;4;1201
2009-Q3;Debt securities;F3;T;5=6+7;260504
2009-Q3;Short-term;F3;S;6;16880
2009-Q3;Long-term;F3;L;7;243624
2009-Q3;Loans;F4;T;8=9+10;34526
2009-Q3;Short-term;F4;S;9;2126
2009-Q3;Long-term;F4;L;10;32400
2009-Q4;Total Maastricht debt;GD;T;1=2+5+8;301062
2009-Q4;Currency and deposits;F2;T;2=3+4;1663
2009-Q4;Currency;F21;_Z;3;0
2009-Q4;Deposits;F2M;T;4;1663
2009-Q4;Debt securities;F3;T;5=6+7;262773
2009-Q4;Short-term;F3;S;6;10024
2009-Q4;Long-term;F3;L;7;252749
2009-Q4;Loans;F4;T;8=9+10;36626
2009-Q4;Short-term;F4;S;9;3413
2009-Q4;Long-term;F4;L;10;33213
2010-Q1;Total Maastricht debt;GD;T;1=2+5+8;311473
2010-Q1;Currency and deposits;F2;T;2=3+4;1049
2010-Q1;Currency;F21;_Z;3;0
2010-Q1;Deposits;F2M;T;4;1049
2010-Q1;Debt securities;F3;T;5=6+7;273854
2010-Q1;Short-term;F3;S;6;7721
2010-Q1;Long-term;F3;L;7;266133
2010-Q1;Loans;F4;T;8=9+10;36570
2010-Q1;Short-term;F4;S;9;4487
2010-Q1;Long-term;F4;L;10;32083
2010-Q2;Total Maastricht debt;GD;T;1=2+5+8;315853
2010-Q2;Currency and deposits;F2;T;2=3+4;1135
2010-Q2;Currency;F21;_Z;3;0
2010-Q2;Deposits;F2M;T;4;1135
2010-Q2;Debt securities;F3;T;5=6+7;260829
2010-Q2;Short-term;F3;S;6;6572
2010-Q2;Long-term;F3;L;7;254257
2010-Q2;Loans;F4;T;8=9+10;53889
2010-Q2;Short-term;F4;S;9;2174
2010-Q2;Long-term;F4;L;10;51715
2010-Q3;Total Maastricht debt;GD;T;1=2+5+8;328594
2010-Q3;Currency and deposits;F2;T;2=3+4;1315
2010-Q3;Currency;F21;_Z;3;0
2010-Q3;Deposits;F2M;T;4;1315
2010-Q3;Debt securities;F3;T;5=6+7;262153
2010-Q3;Short-term;F3;S;6;9398
2010-Q3;Long-term;F3;L;7;252755
2010-Q3;Loans;F4;T;8=9+10;65126
2010-Q3;Short-term;F4;S;9;1501
2010-Q3;Long-term;F4;L;10;63625
2010-Q4;Total Maastricht debt;GD;T;1=2+5+8;330570
2010-Q4;Currency and deposits;F2;T;2=3+4;1203
2010-Q4;Currency;F21;_Z;3;0
2010-Q4;Deposits;F2M;T;4;1203
2010-Q4;Debt securities;F3;T;5=6+7;262555
2010-Q4;Short-term;F3;S;6;8273
2010-Q4;Long-term;F3;L;7;254282
2010-Q4;Loans;F4;T;8=9+10;66812
2010-Q4;Short-term;F4;S;9;3169
2010-Q4;Long-term;F4;L;10;63643
2011-Q1;Total Maastricht debt;GD;T;1=2+5+8;342265
2011-Q1;Currency and deposits;F2;T;2=3+4;1121
2011-Q1;Currency;F21;_Z;3;0
2011-Q1;Deposits;F2M;T;4;1121
2011-Q1;Debt securities;F3;T;5=6+7;257313
2011-Q1;Short-term;F3;S;6;6168
2011-Q1;Long-term;F3;L;7;251145
2011-Q1;Loans;F4;T;8=9+10;83831
2011-Q1;Short-term;F4;S;9;1338
2011-Q1;Long-term;F4;L;10;82493
2011-Q2;Total Maastricht debt;GD;T;1=2+5+8;342057
2011-Q2;Currency and deposits;F2;T;2=3+4;1103
2011-Q2;Currency;F21;_Z;3;0
2011-Q2;Deposits;F2M;T;4;1103
2011-Q2;Debt securities;F3;T;5=6+7;258140
2011-Q2;Short-term;F3;S;6;12380
2011-Q2;Long-term;F3;L;7;245760
2011-Q2;Loans;F4;T;8=9+10;82814
2011-Q2;Short-term;F4;S;9;1426
2011-Q2;Long-term;F4;L;10;81388
2011-Q3;Total Maastricht debt;GD;T;1=2+5+8;348354
2011-Q3;Currency and deposits;F2;T;2=3+4;1306
2011-Q3;Currency;F21;_Z;3;0
2011-Q3;Deposits;F2M;T;4;1306
2011-Q3;Debt securities;F3;T;5=6+7;251397
2011-Q3;Short-term;F3;S;6;11794
2011-Q3;Long-term;F3;L;7;239603
2011-Q3;Loans;F4;T;8=9+10;95651
2011-Q3;Short-term;F4;S;9;1725
2011-Q3;Long-term;F4;L;10;93926
2011-Q4;Total Maastricht debt;GD;T;1=2+5+8;356235
2011-Q4;Currency and deposits;F2;T;2=3+4;1106
2011-Q4;Currency;F21;_Z;3;0
2011-Q4;Deposits;F2M;T;4;1106
2011-Q4;Debt securities;F3;T;5=6+7;251622
2011-Q4;Short-term;F3;S;6;10850
2011-Q4;Long-term;F3;L;7;240772
2011-Q4;Loans;F4;T;8=9+10;103507
2011-Q4;Short-term;F4;S;9;2918
2011-Q4;Long-term;F4;L;10;100589
2012-Q1;Total Maastricht debt;GD;T;1=2+5+8;281499
2012-Q1;Currency and deposits;F2;T;2=3+4;1042
2012-Q1;Currency;F21;_Z;3;0
2012-Q1;Deposits;F2M;T;4;1042
2012-Q1;Debt securities;F3;T;5=6+7;141692
2012-Q1;Short-term;F3;S;6;12310
2012-Q1;Long-term;F3;L;7;129382
2012-Q1;Loans;F4;T;8=9+10;138765
2012-Q1;Short-term;F4;S;9;651
2012-Q1;Long-term;F4;L;10;138114
2012-Q2;Total Maastricht debt;GD;T;1=2+5+8;301787
2012-Q2;Currency and deposits;F2;T;2=3+4;1246
